"URI de la canción","Nombre de la canción","URI(s) del artista","Nombre(s) del artista","URI del álbum","Nombre del álbum","URI(s) del artista del álbum","Nombre(s) del artista del álbum","Fecha de lanzamiento del álbum","URL de la imagen del álbum","Número de disco","Número de la canción","Duración de la canción (ms)","URL de vista previa de la canción","Explícito","Popularidad","ISRC","Añadido por","Añadido en"
"spotify:track:1OJ8c1TRsbRDoj0MrAhRH7","Judas - En Directo","spotify:artist:1Z3i5hUtelWqBwEA1RoWhL","Los Suaves","spotify:album:7lcwvHrnsmnwQgzVYlNevW","29 Años, 9 Meses y 1 Día (En Directo)","spotify:artist:1Z3i5hUtelWqBwEA1RoWhL","Los Suaves","2010-11-22","https://i.scdn.co/image/ab67616d0000b273f59fd9300ee92eba0ae9a1aa","1","6","222506","https://p.scdn.co/mp3-preview/3b39375226650363adfc6f9aa3a095423386c2c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ESAAI0251794","spotify:user:hsuarezcellucci","2021-05-22T18:56:53Z"
"spotify:track:2EoOZnxNgtmZaD8uUmz2nD","Black Hole Sun","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:29sTacnS0qA9xri6YS8xLA","Superunknown (Deluxe Edition)","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b273ae6d8e36136353d550b2587d","1","7","318586","https://p.scdn.co/mp3-preview/a784f804a7d9d93c369347eae4872945e5cb9398?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USAM19400007","spotify:user:hsuarezcellucci","2021-05-23T09:25:42Z"
"spotify:track:1xKQbqQtQWrtQS47fUJBtl","Piece of My Heart","spotify:artist:4J69yWrKwWJgjv3DKTZcGo, spotify:artist:4NgfOZCL9Ml67xzM0xzIvC","Big Brother & The Holding Company, Janis Joplin","spotify:album:2rogKfOpmCFuqNhtGKf2dX","Cheap Thrills","spotify:artist:4J69yWrKwWJgjv3DKTZcGo, spotify:artist:4NgfOZCL9Ml67xzM0xzIvC","Big Brother & The Holding Company, Janis Joplin","1968-08-12","https://i.scdn.co/image/ab67616d0000b273b6bd5786c0a512ec463f3cb7","1","4","253909","https://p.scdn.co/mp3-preview/e644693dea5024e8b5babb71be0b1705fbc9885d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USSM16800982","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-23T11:00:16Z"
"spotify:track:4GMQOjbWshf4Mzphkjg0DJ","Tornado Of Souls","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","spotify:album:4e6ML9RBhDyyKTaTwbiRZv","Rust In Peace","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","1990-01-01","https://i.scdn.co/image/ab67616d0000b27342be808911785ceb13140edc","1","7","322933","https://p.scdn.co/mp3-preview/ff56268d289c7fa6beb358642bfea5e29eac1d1e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USCA29000010","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-23T11:01:22Z"
"spotify:track:7aJeEAPGnWqB3LUaB9naiQ","Oye Mi Amor - En Vivo; 2020 Remasterizado","spotify:artist:7okwEbXzyT2VffBmyQBWLz","Maná","spotify:album:7dqpFbzEqscETCApcDyaVU","En Vivo (2020 Remasterizado)","spotify:artist:7okwEbXzyT2VffBmyQBWLz","Maná","1994","https://i.scdn.co/image/ab67616d0000b273b6c217b61733ffcae864f8c4","1","2","293146","https://p.scdn.co/mp3-preview/f4e2278d39c2d9fdddbac06edbf51fc7e7873d47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","MXF151900142","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-23T11:10:31Z"
"spotify:track:1nULBrlzWatdcjA2ZctIMv","Labios Rotos - En Vivo Desde México / 2010","spotify:artist:6IdtcAwaNVAggwd6sCKgTI","Zoé","spotify:album:5fl6q7SKOuaO2tHXeTaZeV","MTV Unplugged Música De Fondo (Reissue/Live)","spotify:artist:6IdtcAwaNVAggwd6sCKgTI","Zoé","2011-01-01","https://i.scdn.co/image/ab67616d0000b2739abba2e4a7600af6c16988a9","1","5","243040","https://p.scdn.co/mp3-preview/4e19e06efe25ff272fdc991ee5d5034b1b2740fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","MXF061100006","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-23T11:19:39Z"
"spotify:track:2YiqBesMJpszYU6raDOG0R","Hielo","spotify:artist:6IdtcAwaNVAggwd6sCKgTI","Zoé","spotify:album:0yFFH0eR0XJSoF0S5d5peT","Aztlán","spotify:artist:6IdtcAwaNVAggwd6sCKgTI","Zoé","2018-04-18","https://i.scdn.co/image/ab67616d0000b2731eada1495a082da8a6c3e516","1","5","302840","https://p.scdn.co/mp3-preview/5e900d8c75a4eab603b16c229e4baaaafaa27b94?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","MXUM71800221","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-23T11:20:03Z"
"spotify:track:3GSMdtJphymHEsR8K9jT5Q","Locos","spotify:artist:4ClsVDy2g7RKSSlvq8cF6d","León Larregui","spotify:album:6pTyhD8IxuyQXzcCZJp5EM","Voluma","spotify:artist:4ClsVDy2g7RKSSlvq8cF6d","León Larregui","2016-03-11","https://i.scdn.co/image/ab67616d0000b2732a05b124cd97397315615e22","1","1","177600","https://p.scdn.co/mp3-preview/7df9bd35913ec3c106f008e44450127e3cd42e63?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","MXUM71502650","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-23T11:20:20Z"
"spotify:track:2m1hi0nfMR9vdGC8UcrnwU","All The Small Things","spotify:artist:6FBDaR13swtiWwGhX1WQsP","blink-182","spotify:album:652N05EcNH1a4bIlUixQE2","Enema Of The State","spotify:artist:6FBDaR13swtiWwGhX1WQsP","blink-182","1999-06-01","https://i.scdn.co/image/ab67616d0000b2736da502e35a7a3e48de2b0f74","1","8","167066","https://p.scdn.co/mp3-preview/b1447b8d76183737ea2ebd10f70da6292904f833?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USMC19959123","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-23T12:14:39Z"
"spotify:track:0GONea6G2XdnHWjNZd6zt3","Summer Of '69","spotify:artist:3Z02hBLubJxuFJfhacLSDc","Bryan Adams","spotify:album:2o2G49EPi4lua5zgxUKhLL","Reckless (30th Anniversary / Deluxe Edition)","spotify:artist:3Z02hBLubJxuFJfhacLSDc","Bryan Adams","1984-11-05","https://i.scdn.co/image/ab67616d0000b273cf1fee2a55e98e22bf358512","1","6","216053","https://p.scdn.co/mp3-preview/2300238dbef57e50bd68cec1093b30c62c86d090?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USAM18490006","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-23T12:15:39Z"
